"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"3V3","1","3V3","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"C1,C3,C5,C6,C8,C10,C11,C16,C19,C20,C22,C23,C24,C25,C26,C27,C29,C33,C34","19","100nF","","","","CAP_0402_N_WAL","https://www.digikey.ch/de/products/detail/walsin-technology-corporation/0402B104K160CT/6707534?s=N4IgTCBcDaIAwBY5gEIEZEGk0DY4GEAVEAXQF8g"
"C2,C9","2","10uF","","","","CAP_CL10_SAM","https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL10B106MQ8NRNC/3887606?s=N4IgTCBcDaIMIBkCMAGAQqgbAWQIoA4A5AJULhAF0BfIA"
"C4,C12","2","6pF","","","","CAPC6333_33N_KEM","https://www.digikey.ch/en/products/detail/kemet/CBR02C609C8GAC/21803232"
"C7","1","4.7uF","","","","CAP_CL05_SAM","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL05A475MP5NRNC/3887140?s=N4IgTCBcDaIMIBkAMBWAggFgOwoLIAUUA5AJSLhAF0BfIA"
"C13,C21,C35","3","1uF","","","","CAP_CL10_SAM","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604?s=N4IgTCBcDaIMIBkCMAGAQqgrAaQAoA4A5YuEAXQF8g"
"C14","1","22uF","","","","CAP_CL_05_SAM","https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL05A226MQ5N6J8/7320595?s=N4IgTCBcDaIMIBkAMBWAgmMA2AsgRRQDksApADhAF0BfIA"
"CK1,CMD1,MCK1,PAIR1,PAIR2,PAIR3,SDMC0,SDMC1,SDMC2,SDMC3,SW1","11","Test Pad","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"D1,D2,D3,D4,D5,D6,D7","7","40VC","","","","ZDO_PESD0402_LTF","https://www.digikey.ch/de/products/detail/littelfuse-inc/pesd0402-240/6348143"
"D8","1","GREEN LED","","","","digikey-footprints:LED_0603","https://www.digikey.ch/de/products/detail/liteon/LTST-C190GKT/269230?s=N4IgTCBcDaIDIBUDKCC0BhAjATgAwHEBpBEAXQF8g"
"D9","1","RED LED","","","","digikey-footprints:LED_0603","https://www.digikey.ch/de/products/detail/liteon/LTST-C191KRKT/386837?s=N4IgTCBcDaIDIBUDKCC0BhAjATkwaQCU8EQBdAXyA"
"D10","1","YELLOW LED","","","","digikey-footprints:0603","https://www.digikey.ch/de/products/detail/lite-on-inc/ltst-c191krkt/386837"
"F1","1","1A","","","","0ZCK_BEL","https://www.digikey.ch/de/products/detail/bel-fuse-inc/0ZCK0020FF2G/4156140?s=N4IgTCBcDaIAwC0DCBpOcxwGJbAcRAF0BfIA"
"GND1,VBAT1","2","GND1","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","https://www.digikey.ch/de/products/detail/samtec-inc/TS-101-G-AA/6691609"
"J1","1","Micro-SD Slot","","","","DM3CS_SF:HRS_DM3CS-SF","https://www.digikey.ch/de/products/detail/hirose-electric-co-ltd/DM3CS-SF/2602739?s=N4IgTCBcDaICIFkDMBhAygWjQMRAXQF8g"
"J2,J3,J4,J5,J6,J7,J8,J9,J14,J15,J16,J17,J18,J19,J20,J21","16","Solder Jumper","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"J10,J11,J12,J13","4","Molex expansions","","","","CONN04_530480410_MOL","https://www.digikey.ch/de/products/detail/molex/0530480410/242866?s=N4IgTCBcDaIKwGYAMAWAHKgjEkBdAvkA"
"L1","1","2u2H","","","","IND_VLS3012HBX_TDK","https://www.digikey.ch/de/products/detail/tdk-corporation/VLS3012HBX-2R2M/7387441"
"M1,M2,M3,M4,M5,M7","6","Microphone","","","","ul_0402B104K160CT:DMM-2627-B","https://www.digikey.ch/de/products/detail/pui-audio-inc/DMM-2726-B/27381679?s=N4IgTCBcDaICYFsEFowHYwDZkCMQF0BfIA"
"MD1","1","NINA-W102-01B","","","","ul_NINA-W102-01B:NINA-W102_UBL","https://www.digikey.ch/de/products/detail/u-blox/NINA-W102-01B/16344110?s=N4IgTCBcDaIHIEk4EEC0B1AjABjK7mAQiALoC%2BQA"
"P1,P2","2","Crazyflie Female Expansion","","","","CF2-DECK-SMD-HOLES:CF2-DECK-SMD-HOLES","https://store.bitcraze.io/collections/decks/products/female-deck-connector"
"P3","1","6220XX21121_62201021121","","","","62201021121:62201021121","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/62201021121/4846893?s=N4IgTCBcDaIGxjABgIxLClGQF0C%2BQA"
"P5","1","GRPB042VWVN-RC","","","","CONN8_VWVN-RC_SUL","https://www.digikey.ch/de/products/detail/sullins-connector-solutions/GRPB042VWVN-RC/1786454?s=N4IgTCBcDaIOICUAKAhADAFjANQOrYDkBaBAYRAF0BfIA"
"R1","1","100R","","","","RC0603N_VIS","https://www.digikey.ch/de/products/detail/yageo/RC0603FR-07100RL/726888"
"R2,R3","2","0R","","","","STA_RMCF0603_STP","https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0603ZT0R00/1756908?s=N4IgTCBcDaIEoFkDCAxADANjQZgFoBU0400QBdAXyA"
